epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5266,1.24877,2.08377,1.24713,0.37368,0.31062,0.28359,0.16839,1.35962,1.77271,1.28846,0.000331096,0.000331096,0.000331096
2,93.5396,1.35971,1.67216,1.32844,0.53497,0.27176,0.24499,0.12919,1.49953,1.86391,1.417,0.000657852,0.000657852,0.000657852
3,136.756,1.45017,1.73076,1.39825,0.34037,0.26901,0.25464,0.13053,1.61739,1.66479,1.49584,0.000978007,0.000978007,0.000978007
4,179.976,1.46407,1.68911,1.4077,0.28297,0.23245,0.21556,0.10696,1.5891,1.70453,1.47506,0.0009703,0.0009703,0.0009703
5,223.976,1.4566,1.65752,1.40897,0.32082,0.2392,0.241,0.12948,1.52112,1.7589,1.42892,0.0009604,0.0009604,0.0009604
6,267.398,1.4404,1.59003,1.39127,0.41048,0.2588,0.25309,0.14293,1.52729,1.62667,1.44125,0.0009505,0.0009505,0.0009505
7,311.756,1.41463,1.57163,1.38787,0.43931,0.29399,0.28004,0.15197,1.52659,1.61825,1.44187,0.0009406,0.0009406,0.0009406
8,355.219,1.40874,1.50931,1.37316,0.39515,0.34438,0.31059,0.17701,1.50389,1.57204,1.4191,0.0009307,0.0009307,0.0009307
9,398.896,1.38808,1.49523,1.36508,0.40493,0.28917,0.28776,0.16523,1.50458,1.50543,1.40147,0.0009208,0.0009208,0.0009208
10,442.915,1.3796,1.47197,1.35393,0.42143,0.2766,0.27747,0.16108,1.46916,1.49618,1.39413,0.0009109,0.0009109,0.0009109
11,485.937,1.36206,1.42018,1.34387,0.33507,0.30455,0.27695,0.15613,1.50468,1.51473,1.41323,0.000901,0.000901,0.000901
12,530.192,1.35326,1.43715,1.34986,0.37576,0.31023,0.28839,0.16796,1.43889,1.47495,1.37995,0.0008911,0.0008911,0.0008911
13,573.415,1.33843,1.39664,1.33279,0.48679,0.31771,0.32528,0.18632,1.47485,1.44034,1.39758,0.0008812,0.0008812,0.0008812
14,616.583,1.32784,1.38008,1.33414,0.40768,0.3202,0.30998,0.17398,1.48239,1.43633,1.40275,0.0008713,0.0008713,0.0008713
15,660.999,1.3267,1.35345,1.31015,0.49275,0.36287,0.35687,0.20785,1.45188,1.4007,1.37312,0.0008614,0.0008614,0.0008614
16,704.172,1.32668,1.35109,1.32028,0.44338,0.32444,0.33247,0.19028,1.47029,1.43057,1.37307,0.0008515,0.0008515,0.0008515
17,748.278,1.31431,1.32893,1.31314,0.37938,0.35824,0.32095,0.17984,1.43631,1.40249,1.35473,0.0008416,0.0008416,0.0008416
18,791.483,1.29319,1.30748,1.30409,0.45352,0.35824,0.33833,0.20139,1.40505,1.35672,1.34198,0.0008317,0.0008317,0.0008317
19,835.036,1.29394,1.29717,1.29912,0.49935,0.31905,0.3447,0.19373,1.41696,1.38773,1.3526,0.0008218,0.0008218,0.0008218
20,879.743,1.30574,1.30359,1.30564,0.54327,0.30302,0.3501,0.19906,1.43952,1.37512,1.36454,0.0008119,0.0008119,0.0008119
21,923.18,1.26596,1.24893,1.28406,0.4899,0.31595,0.35365,0.20369,1.43769,1.35853,1.36428,0.000802,0.000802,0.000802
22,967.222,1.2767,1.25897,1.27968,0.55219,0.33351,0.36876,0.2216,1.42923,1.33129,1.36776,0.0007921,0.0007921,0.0007921
23,1010.53,1.26312,1.25011,1.27868,0.48717,0.36476,0.37641,0.22171,1.40339,1.29801,1.33441,0.0007822,0.0007822,0.0007822
24,1053.97,1.25951,1.22343,1.27371,0.47083,0.36568,0.36637,0.21371,1.40025,1.3538,1.34509,0.0007723,0.0007723,0.0007723
25,1099.39,1.24493,1.21384,1.26898,0.55121,0.35031,0.38629,0.22755,1.43447,1.33234,1.35501,0.0007624,0.0007624,0.0007624
26,1143.56,1.24925,1.20792,1.26191,0.43891,0.38126,0.36151,0.21164,1.39668,1.32901,1.3308,0.0007525,0.0007525,0.0007525
27,1188.94,1.24358,1.22559,1.26354,0.428,0.32375,0.32357,0.1901,1.43565,1.3432,1.3553,0.0007426,0.0007426,0.0007426
28,1232.56,1.23882,1.18914,1.25223,0.49121,0.34573,0.36123,0.21165,1.37644,1.30337,1.32123,0.0007327,0.0007327,0.0007327
29,1277.62,1.2322,1.17716,1.25285,0.47988,0.36675,0.37232,0.21862,1.40873,1.30861,1.33796,0.0007228,0.0007228,0.0007228
30,1320.98,1.21922,1.17045,1.24859,0.48712,0.35551,0.36345,0.21541,1.39965,1.29293,1.34105,0.0007129,0.0007129,0.0007129
31,1365.66,1.2161,1.15787,1.24362,0.52867,0.32372,0.34743,0.20374,1.40193,1.33432,1.3405,0.000703,0.000703,0.000703
32,1409.53,1.22561,1.14687,1.24847,0.55137,0.33063,0.36186,0.21134,1.40124,1.31186,1.33308,0.0006931,0.0006931,0.0006931
